Episode,Reward,Avg_Reward_Last_1,Avg_Reward_Last_100,Avg_Reward_All,Frames_total,Time_Elapsed,Solved,Distance,Memory_Usage
104,34.02837182335252,34.02837182335252,33.55447018488993,33.58,3120,04:07:39,False,1.232100898235401,14652182528
105,33.85496185918299,33.85496185918299,33.55245271268904,33.58,3150,04:10:03,False,1.2321851213230408,14562492416
106,33.12074413086255,33.12074413086255,33.546876515136304,33.58,3180,04:12:27,False,1.2089105405236928,14567559168
107,33.62483006379247,33.62483006379247,33.55083788949528,33.58,3210,04:14:51,False,1.2480714838808766,14623588352
108,33.108241291811375,33.108241291811375,33.54827545589347,33.58,3240,04:17:16,False,1.2238737231904442,14710751232
109,33.97809215239873,33.97809215239873,33.53921293880237,33.58,3270,04:19:41,False,1.2627595239188545,14698131456
110,33.25950463846667,33.25950463846667,33.54098205324769,33.58,3300,04:22:06,False,1.2484520259793825,14657286144
111,34.11427340001297,34.11427340001297,33.53801791232313,33.58,3330,04:24:32,False,1.2701636309189999,14701821952
112,34.690493764168146,34.690493764168146,33.54996973396474,33.59,3360,04:26:57,False,1.288408426577569,14726959104
113,34.10374463392034,34.10374463392034,33.55922605776557,33.6,3390,04:29:22,False,1.2731959913827269,14639898624
114,33.55877127116725,33.55877127116725,33.55689704407,33.6,3420,04:31:47,False,1.2408984219552277,14658510848
115,33.422395181562095,33.422395181562095,33.56272152652146,33.59,3450,04:34:13,False,1.1858326223758562,14693302272
116,33.106332915636784,33.106332915636784,33.55252066306215,33.59,3480,04:36:41,False,1.1928407792112883,14745833472
117,34.09229374469095,34.09229374469095,33.55710232694814,33.59,3510,04:39:10,False,1.271373999693375,14724997120
118,33.24687046149048,33.24687046149048,33.5588560727194,33.59,3540,04:41:34,False,1.2206554809002972,14706159616
119,33.48363751394941,33.48363751394941,33.55664232915014,33.59,3570,04:43:59,False,1.2291604267478482,14751989760
120,33.35639852516323,33.35639852516323,33.560946430269404,33.59,3600,04:46:27,False,1.2291863469312765,14751059968
121,33.535156378641936,33.535156378641936,33.56241303224324,33.59,3630,04:48:52,False,1.2261345831860613,14614102016
122,33.09490507032463,33.09490507032463,33.572211937240894,33.58,3660,04:51:18,False,1.1940331954082413,14696357888
123,33.13002552984467,33.13002552984467,33.574981405129805,33.58,3690,04:53:42,False,1.1833598162433936,14716755968
124,33.46583154260395,33.46583154260395,33.57868188076972,33.58,3720,04:56:07,False,1.2006675981521295,14738976768
125,33.99479755880486,33.99479755880486,33.58573891059289,33.58,3750,04:58:33,False,1.2163098425657495,14759071744
126,34.585967649952146,34.585967649952146,33.59581724026415,33.59,3780,05:00:58,False,1.2751575590517552,14794756096
127,33.73804676293983,33.73804676293983,33.59509777390421,33.59,3810,05:03:22,False,1.2235602457789303,14766399488
128,33.492667409999065,33.492667409999065,33.59254811990313,33.59,3840,05:05:47,False,1.2137851457668865,14793134080
129,33.42285948095848,33.42285948095848,33.59458196500306,33.59,3870,05:08:12,False,1.211980145887981,14813122560
130,34.28803681987162,34.28803681987162,33.603678658924444,33.6,3900,05:10:41,False,1.2358628019740618,14888321024
131,32.98259484290371,32.98259484290371,33.594481321746024,33.59,3930,05:13:08,False,1.2086424965384166,14844030976
132,33.6934258279061,33.6934258279061,33.59872912634316,33.59,3960,05:15:34,False,1.2152794517089425,14895804416
133,34.25306461674352,34.25306461674352,33.610839535691795,33.6,3990,05:17:59,False,1.2676896378828493,14829445120
134,33.739101867108474,33.739101867108474,33.608931766142994,33.6,4020,05:20:24,False,1.2266954902490141,14873665536
135,33.16642850381268,33.16642850381268,33.609391274554234,33.59,4050,05:22:48,False,1.1966131021391342,14859251712
136,33.479222920528606,33.479222920528606,33.60485477670215,33.59,4080,05:25:14,False,1.2097016292663998,14916001792
137,33.30076418345869,33.30076418345869,33.60807737951077,33.59,4110,05:27:43,False,1.229792075671912,15006203904
138,33.42509336244794,33.42509336244794,33.59799812791219,33.59,4140,05:30:10,False,1.230894811151368,14987096064
139,33.58501841858083,33.58501841858083,33.59646150730976,33.59,4170,05:32:35,False,1.215420272099974,14994743296
140,34.31032134237879,34.31032134237879,33.60530816206862,33.6,4200,05:35:00,False,1.2701624246127088,15018397696
141,33.902197904326925,33.902197904326925,33.61859216054845,33.6,4230,05:37:24,False,1.2546558779505095,14950658048
142,32.85136542453382,32.85136542453382,33.609215162942476,33.59,4260,05:39:49,False,1.1830965822720585,14883446784
143,33.12440525524058,33.12440525524058,33.599439894419646,33.59,4290,05:42:14,False,1.2203733853029086,14880186368
144,33.75542960399605,33.75542960399605,33.601411422247494,33.59,4320,05:44:39,False,1.2592309974638263,14938357760
145,33.694946446965325,33.694946446965325,33.60126801272436,33.59,4350,05:47:03,False,1.250008896303223,14986764288
146,34.18250006547448,34.18250006547448,33.60613804861828,33.6,4380,05:49:29,False,1.2571404731689635,14916087808
147,33.585487128373906,33.585487128373906,33.60525378870187,33.6,4410,05:51:52,False,1.23792310470233,14898565120
148,33.15351749240889,33.15351749240889,33.596828975834214,33.59,4440,05:54:17,False,1.2130806874695135,15019094016
149,32.53198678973353,32.53198678973353,33.578780593719124,33.58,4470,05:56:42,False,1.2224207181126236,15078506496
150,33.077579564101214,33.077579564101214,33.572814512747684,33.58,4500,05:59:10,False,1.1891304880617442,15032586240
151,34.15904699602228,34.15904699602228,33.58002217520007,33.59,4530,06:01:37,False,1.2667157467986252,15011491840
152,34.35070298432538,34.35070298432538,33.59231006345645,33.59,4560,06:04:05,False,1.2702757927533308,15050473472
153,33.58523115753067,33.58523115753067,33.58921058287407,33.59,4590,06:06:30,False,1.2260155070866698,15024455680
154,32.8733983642733,32.8733983642733,33.579388030757364,33.59,4620,06:08:55,False,1.2050953775976452,14972755968
155,33.746798907765616,33.746798907765616,33.584173660750324,33.59,4650,06:11:19,False,1.228938933982057,14973231104
156,32.950843926171984,32.950843926171984,33.5706341934184,33.58,4680,06:13:45,False,1.2138913502981725,15070625792
157,33.59147588649233,33.59147588649233,33.572419915774915,33.58,4710,06:16:10,False,1.2307702675980605,15091974144
158,33.51139239173831,33.51139239173831,33.573982770630344,33.58,4740,06:18:35,False,1.2554820312039416,15039557632
159,33.52975221675748,33.52975221675748,33.5750617993319,33.58,4770,06:21:02,False,1.2335570054469016,15060246528
160,33.200768456488646,33.200768456488646,33.5802714979221,33.58,4800,06:23:26,False,1.1994589019173931,15078248448
161,33.49710469282363,33.49710469282363,33.582804192802286,33.58,4830,06:25:53,False,1.228587546866866,15124811776
162,34.85651129576856,34.85651129576856,33.59279099028497,33.59,4860,06:28:18,False,1.3142994519760034,15091146752
163,33.49351952169198,33.49351952169198,33.59993200815627,33.59,4890,06:30:44,False,1.2475302801732466,15131586560
164,33.00693444267168,33.00693444267168,33.59910254175451,33.58,4920,06:33:11,False,1.2256982919911519,15175675904
165,33.32988395244472,33.32988395244472,33.60265469411617,33.58,4950,06:35:36,False,1.2079598392237962,15147438080
166,33.090440569962595,33.090440569962595,33.59826699823082,33.58,4980,06:38:01,False,1.2115930309234664,15073398784
167,33.458877961039974,33.458877961039974,33.598566591670455,33.58,5010,06:40:30,False,1.2292510612350214,15181123584
168,33.637010173255455,33.637010173255455,33.594728343829544,33.58,5040,06:42:52,False,1.2442967454234624,15127519232
169,33.067723970330306,33.067723970330306,33.58368742253352,33.57,5070,06:45:14,False,1.2369952011265009,15133143040
170,33.55359542129628,33.55359542129628,33.580095354106085,33.57,5100,06:47:35,False,1.2424715062451828,15078928384
171,33.638283653705415,33.638283653705415,33.580256972475176,33.58,5130,06:49:57,False,1.2453414227949287,15123472384
172,32.96694254439664,32.96694254439664,33.57340802882011,33.57,5160,06:52:19,False,1.2007484432388948,15021596672
173,33.554512551508,33.554512551508,33.575866346685764,33.57,5190,06:54:40,False,1.224617455003721,15014060032
174,32.24221690396762,32.24221690396762,33.57006356877781,33.56,5220,06:57:04,False,1.1863174615716516,15149944832
175,33.47656343650988,33.47656343650988,33.568356426351876,33.56,5250,06:59:29,False,1.216078190603667,15118323712
176,33.56261618633068,33.56261618633068,33.56689100073191,33.56,5280,07:01:55,False,1.2224014425909924,15260631040
177,33.39089904351741,33.39089904351741,33.56712449708226,33.56,5310,07:04:22,False,1.2485423547384649,15074496512
178,34.14999581971397,34.14999581971397,33.576361085507116,33.57,5340,07:06:47,False,1.2789926281061408,15090192384
179,32.82436236914006,32.82436236914006,33.57020142014372,33.56,5370,07:09:12,False,1.2055621847610574,15083036672
180,33.151065195091896,33.151065195091896,33.56463606236786,33.56,5400,07:11:40,False,1.206198398900743,15054057472
181,32.91697874662691,32.91697874662691,33.561582984416894,33.56,5430,07:14:04,False,1.196468094015505,15128170496
182,33.81945135523486,33.81945135523486,33.564898290849236,33.56,5460,07:16:30,False,1.2334795833097487,15060856832
183,32.535892960426644,32.535892960426644,33.54670006750489,33.55,5490,07:18:55,False,1.183168880917001,15081869312
184,33.783008417237866,33.783008417237866,33.546511683053794,33.55,5520,07:21:22,False,1.2458299760165503,15096131584
185,32.45184290410996,32.45184290410996,33.52966747673504,33.55,5550,07:23:48,False,1.2044431398148312,15137579008
186,34.077735806294555,34.077735806294555,33.53467809529613,33.55,5580,07:26:14,False,1.2819599422068784,15057690624
187,34.04651999618342,34.04651999618342,33.53727903430697,33.55,5610,07:28:39,False,1.2662252180381919,15114096640
188,34.33614316249383,34.33614316249383,33.54426884327113,33.56,5640,07:31:05,False,1.2689543745467136,15112122368
189,33.63703844722723,33.63703844722723,33.54310632329895,33.56,5670,07:33:31,False,1.2641610821270897,15171276800
190,32.98927029589542,32.98927029589542,33.54061923060959,33.55,5700,07:35:57,False,1.2189831399109847,15217594368
191,33.51221699197883,33.51221699197883,33.53789355059574,33.55,5730,07:38:24,False,1.2547652985356355,15178137600
192,33.44840783912928,33.44840783912928,33.53978480582954,33.55,5760,07:40:52,False,1.214735413819797,15170400256
193,33.361810576433186,33.361810576433186,33.53904260141782,33.55,5790,07:43:17,False,1.2116305591498955,15213772800
194,33.06995465584217,33.06995465584217,33.526385578717324,33.55,5820,07:45:42,False,1.2123145351157365,15133773824
